episode,total_reward,steps,solved,avg_loss,epsilon
384,-2980.50,2500,0,0.1463,0.9029
385,-2737.25,2500,0,0.1323,0.9002
386,-2900.00,2500,0,0.1311,0.8975
387,-2671.50,2500,0,0.1260,0.8948
388,-2920.25,2500,0,0.1435,0.8921
389,-2739.25,2500,0,0.1425,0.8894
390,-2616.75,2500,0,0.1472,0.8868
391,-2612.50,2500,0,0.1518,0.8841
392,-2684.25,2500,0,0.1440,0.8814
393,-2702.50,2500,0,0.1581,0.8788
394,-2716.00,2500,0,0.1790,0.8762
395,-2848.25,2500,0,0.1687,0.8735
396,-2715.25,2500,0,0.1735,0.8709
397,-2737.25,2500,0,0.1729,0.8683
398,-2648.00,2500,0,0.2033,0.8657
399,-2961.50,2500,0,0.2100,0.8631
400,-2978.75,2500,0,0.2278,0.8605
401,-3020.50,2500,0,0.2491,0.8579
402,-2994.75,2500,0,0.2720,0.8554
403,-3117.50,2500,0,0.2622,0.8528
404,-3165.00,2500,0,0.2769,0.8502
405,-3213.25,2500,0,0.3113,0.8477
406,-3188.75,2500,0,0.3430,0.8451
407,-3204.75,2500,0,0.3354,0.8426
408,-3228.50,2500,0,0.3502,0.8401
409,-3234.50,2500,0,0.4917,0.8376
410,-3235.75,2500,0,0.5080,0.8350
411,-3234.00,2500,0,0.4972,0.8325
412,-3228.50,2500,0,0.5192,0.8300
413,-3254.50,2500,0,0.4894,0.8276
414,-3252.50,2500,0,0.5507,0.8251
415,-2975.75,2500,0,0.5551,0.8226
416,-3017.50,2500,0,0.5468,0.8201
417,-2994.25,2500,0,0.6664,0.8177
418,-3020.75,2500,0,0.6562,0.8152
419,-3068.25,2500,0,0.6430,0.8128
420,-2959.25,2500,0,0.7171,0.8103
421,-2977.50,2500,0,0.7362,0.8079
422,-3004.00,2500,0,0.7142,0.8055
423,-2957.00,2500,0,0.7399,0.8031
424,-2934.00,2500,0,0.7229,0.8006
425,-2878.00,2500,0,0.8090,0.7982
426,-2977.00,2500,0,0.8863,0.7959
427,-3086.00,2500,0,0.9094,0.7935
428,-3056.00,2500,0,0.9349,0.7911
429,-2833.75,2500,0,0.8769,0.7887
430,-2888.75,2500,0,0.7437,0.7863
431,-2906.50,2500,0,0.5560,0.7840
432,-3008.25,2500,0,0.4629,0.7816
433,-2996.75,2500,0,0.3915,0.7793
434,-3105.75,2500,0,0.2870,0.7770
435,-2959.75,2500,0,0.2467,0.7746
436,-3083.50,2500,0,0.1975,0.7723
437,-3004.50,2500,0,0.1494,0.7700
438,-3006.50,2500,0,0.1236,0.7677
439,-3052.00,2500,0,0.1078,0.7654
440,-2972.75,2500,0,0.1038,0.7631
441,-2900.25,2500,0,0.0913,0.7608
442,-2903.50,2500,0,0.0969,0.7585
443,-2816.25,2500,0,0.1040,0.7562
444,-2681.50,2500,0,0.1134,0.7540
445,-3209.00,2500,0,0.1117,0.7517
446,-3161.25,2500,0,0.1048,0.7494
447,-3056.75,2500,0,0.1077,0.7472
448,-2789.75,2500,0,0.1125,0.7449
449,-2958.50,2500,0,0.1134,0.7427
450,-2821.75,2500,0,0.1140,0.7405
451,-2738.25,2500,0,0.1150,0.7383
452,-2751.00,2500,0,0.1274,0.7360
453,-2938.25,2500,0,0.1177,0.7338
454,-2788.00,2500,0,0.1358,0.7316
455,-2840.50,2500,0,0.1618,0.7294
456,-2854.75,2500,0,0.1490,0.7273
457,-3219.00,2500,0,0.1296,0.7251
458,-2967.25,2500,0,0.1359,0.7229
459,-3223.25,2500,0,0.1372,0.7207
460,-3152.75,2500,0,0.1340,0.7186
461,-2665.25,2500,0,0.1559,0.7164
462,-2523.25,2500,0,0.1379,0.7143
463,-2960.25,2500,0,0.1407,0.7121
464,-2944.00,2500,0,0.1457,0.7100
465,-2912.75,2500,0,0.1664,0.7079
466,-2911.25,2500,0,0.1616,0.7057
467,-2885.25,2500,0,0.1732,0.7036
468,-3028.25,2500,0,0.1489,0.7015
469,-2990.00,2500,0,0.1761,0.6994
470,-2964.75,2500,0,0.1508,0.6973
471,-2999.25,2500,0,0.1485,0.6952
472,-2972.25,2500,0,0.1679,0.6931
473,-2922.00,2500,0,0.1710,0.6910
474,-2988.00,2500,0,0.2085,0.6890
475,-3157.25,2500,0,0.2077,0.6869
476,-2869.75,2500,0,0.2424,0.6848
477,-3071.75,2500,0,0.2294,0.6828
478,-3143.00,2500,0,0.2416,0.6807
479,-3235.25,2500,0,0.2705,0.6787
480,-3252.50,2500,0,0.2599,0.6767
481,-3254.75,2500,0,0.2668,0.6746
482,-3169.75,2500,0,0.3062,0.6726
483,-3259.25,2500,0,0.3266,0.6706
484,-3196.00,2500,0,0.3699,0.6686
485,-3244.25,2500,0,0.3520,0.6666
486,-3288.50,2500,0,0.3483,0.6646
487,-3025.00,2500,0,0.3141,0.6626
488,-2995.50,2500,0,0.2767,0.6606
489,-2969.25,2500,0,0.2827,0.6586
490,-3109.00,2500,0,0.2758,0.6566
491,-3128.50,2500,0,0.2607,0.6547
492,-3131.00,2500,0,0.2474,0.6527
493,-3123.50,2500,0,0.2133,0.6507
494,-3082.75,2500,0,0.1668,0.6488
495,-3031.00,2500,0,0.1488,0.6468
496,-3005.00,2500,0,0.1449,0.6449
497,-2986.25,2500,0,0.1635,0.6430
498,-2994.00,2500,0,0.1807,0.6410
499,-2996.75,2500,0,0.1630,0.6391
500,-2996.75,2500,0,0.1959,0.6372
501,-2978.25,2500,0,0.2014,0.6353
502,-3030.75,2500,0,0.1983,0.6334
503,-3024.25,2500,0,0.1751,0.6315
504,-3229.00,2500,0,0.2013,0.6296
505,-3146.00,2500,0,0.1828,0.6277
506,-3088.25,2500,0,0.1990,0.6258
507,-3224.50,2500,0,0.1924,0.6239
508,-3288.00,2500,0,0.1872,0.6221
509,-3267.25,2500,0,0.2014,0.6202
510,-3240.50,2500,0,0.1969,0.6183
511,-3186.75,2500,0,0.1748,0.6165
512,-3196.00,2500,0,0.1600,0.6146
513,-3221.25,2500,0,0.1861,0.6128
514,-3178.50,2500,0,0.1667,0.6110
515,-3168.50,2500,0,0.1745,0.6091
516,-3130.75,2500,0,0.2006,0.6073
517,-3070.75,2500,0,0.2452,0.6055
518,-3097.75,2500,0,0.2688,0.6037
519,-3394.25,2500,0,0.3074,0.6018
520,-3092.00,2500,0,0.3044,0.6000
521,-2830.25,2500,0,0.3155,0.5982
522,-2633.00,2500,0,0.2863,0.5964
523,-2943.50,2500,0,0.2910,0.5947
524,-3213.25,2500,0,0.2873,0.5929
525,-3107.75,2500,0,0.3386,0.5911
526,-2958.00,2500,0,0.3439,0.5893
527,-3027.75,2500,0,0.3636,0.5875
528,-3014.50,2500,0,0.3701,0.5858
529,-3134.00,2500,0,0.3622,0.5840
530,-2826.50,2500,0,0.3846,0.5823
531,-3041.50,2500,0,0.4135,0.5805
532,-3015.75,2500,0,0.4137,0.5788
533,-2950.00,2500,0,0.3756,0.5771
534,-3096.50,2500,0,0.3540,0.5753
535,-3115.50,2500,0,0.3713,0.5736
536,-3150.75,2500,0,0.3068,0.5719
537,-3116.25,2500,0,0.2782,0.5702
538,-3209.00,2500,0,0.2486,0.5684
539,-3278.50,2500,0,0.2434,0.5667
540,-3340.25,2500,0,0.2489,0.5650
541,-3467.25,2500,0,0.2701,0.5633
542,-3375.00,2500,0,0.2243,0.5617
543,-3245.75,2500,0,0.1987,0.5600
544,-2960.75,2500,0,0.1985,0.5583
545,-2971.75,2500,0,0.1870,0.5566
546,-3055.75,2500,0,0.2078,0.5549
547,-2985.25,2500,0,0.2100,0.5533
548,-3126.75,2500,0,0.2276,0.5516
549,-3017.50,2500,0,0.2285,0.5500
550,-3075.25,2500,0,0.1968,0.5483
551,-2899.00,2500,0,0.1964,0.5467
552,-3196.00,2500,0,0.1817,0.5450
553,-3128.75,2500,0,0.1582,0.5434
554,-3210.25,2500,0,0.1345,0.5418
555,-3157.50,2500,0,0.1513,0.5401
556,-2898.00,2500,0,0.1464,0.5385
557,-3251.25,2500,0,0.1464,0.5369
558,-3221.75,2500,0,0.1839,0.5353
559,-3281.25,2500,0,0.1864,0.5337
560,-3192.25,2500,0,0.1927,0.5321
561,-3220.00,2500,0,0.1800,0.5305
562,-3188.75,2500,0,0.1359,0.5289
563,-3222.50,2500,0,0.1603,0.5273
564,-3225.50,2500,0,0.1522,0.5257
565,-3162.50,2500,0,0.1662,0.5242
566,-3230.75,2500,0,0.1596,0.5226
567,-3169.25,2500,0,0.1611,0.5210
568,-3267.50,2500,0,0.1585,0.5195
569,-3076.75,2500,0,0.1870,0.5179
570,-3076.25,2500,0,0.1461,0.5163
571,-3010.50,2500,0,0.1327,0.5148
572,-3030.75,2500,0,0.1124,0.5132
573,-2995.50,2500,0,0.1370,0.5117
574,-2889.75,2500,0,0.1153,0.5102
